1.000000000000000000e+01,9.407812876627551224e-02,1.550713817672413897e-01,3.606407367917774942e-01,3.795020179284446238e-01
2.000000000000000000e+01,1.772740687735688270e-01,1.710664950734321066e-01,2.548286420220265414e-01,2.542156575888558367e-01
5.000000000000000000e+01,2.064568306737786796e-01,1.860792778823669169e-01,2.349336387711223606e-01,2.320383312868403991e-01
1.000000000000000000e+02,8.524625686442656447e-02,9.454833935678678969e-02,1.127515409282172643e-01,1.196794908944844305e-01
2.500000000000000000e+02,9.509269924648661165e-02,1.051536109369060473e-01,1.104075551608757061e-01,1.173152320869867843e-01
5.000000000000000000e+02,9.467302783979708591e-02,1.068165122243630444e-01,1.038214739854659424e-01,1.135544725428440926e-01
7.500000000000000000e+02,9.478860595126208100e-02,1.007787894805506762e-01,1.034298673754251302e-01,1.083197619473557360e-01
1.000000000000000000e+03,9.639172017525468594e-02,1.056481612460130615e-01,1.030144880034056798e-01,1.101504637252143509e-01
1.250000000000000000e+03,9.727458160613074167e-02,1.026748297571382224e-01,1.025739752207389666e-01,1.076595603645208454e-01
1.500000000000000000e+03,9.908822512424791951e-02,1.072796119920871177e-01,1.024190751560576929e-01,1.111753912809234218e-01
2.000000000000000000e+03,9.981196446138243528e-02,1.044291818968454549e-01,1.023885874840170657e-01,1.061986892788303050e-01
2.000000000000000000e+01,1.772740687735688270e-01,1.720535849552183305e-01,2.548286420220265414e-01,2.558835531761505244e-01
2.000000000000000000e+01,6.336466448160730115e-04,1.731182112882778401e-01,3.825538271378123301e-01,2.583717591013875992e-01
2.000000000000000000e+01,6.336466448160730115e-04,1.731182112882778401e-01,3.825538271378123301e-01,2.583717591013875992e-01
2.000000000000000000e+01,2.861543091231190661e-01,3.368550501450768841e-01,2.986124176189502677e+01,2.030572799357499125e+00
