5.000000000000000000e+01,2.750889842585981793e-01,3.702314280485093367e-01,1.993866842431558339e+01,8.537510897853444192e+00
1.000000000000000000e+02,2.157529365281347922e-01,3.612460563228847010e-01,6.523000037906644399e-01,7.710517922513552058e+00
2.500000000000000000e+02,2.703692499401383897e-01,3.632870818620386189e-01,8.270623514010848609e+00,9.746944154396837590e+00
5.000000000000000000e+02,2.157529365281347922e-01,3.673129586678507419e-01,6.530060715742109778e-01,1.127216703902469774e+01
7.500000000000000000e+02,2.157529365281347922e-01,4.012701919707751252e-01,6.525752941908390392e-01,1.218228536523868755e+01
1.000000000000000000e+03,2.157529365281347922e-01,3.703806435861759505e-01,6.525632413446738056e-01,1.100529951148505958e+01
1.250000000000000000e+03,2.889664151873788667e-01,3.484118545004547540e-01,4.659691648283245335e+00,1.256156901248006008e+01
1.500000000000000000e+03,2.157529365281347922e-01,3.714553633212914763e-01,6.526186183548734476e-01,1.214593727497747722e+01
2.000000000000000000e+03,2.157529365281347922e-01,3.608561398730119607e-01,6.522218610125005700e-01,1.464740046085332992e+01
2.250000000000000000e+03,2.157529365281347922e-01,3.763566970274045409e-01,6.521794321572534914e-01,1.245270948617374174e+01
2.500000000000000000e+03,2.157529365281347922e-01,3.701366059509029749e-01,6.521867431895822520e-01,1.301217239510701518e+01
2.750000000000000000e+03,2.157529365281347922e-01,3.667451495164413267e-01,6.522414904415209103e-01,1.488572445449282000e+01
